cell,group in,group out,nuclide,mean,std. dev.
3,4,55,total,0.0,0.0
3,4,56,total,0.0,0.0
3,4,57,total,0.0,0.0
3,4,58,total,0.0,0.0
3,4,59,total,0.0,0.0
3,4,60,total,0.0,0.0
3,4,61,total,0.0,0.0
3,4,62,total,0.0,0.0
3,4,63,total,0.0,0.0
3,4,64,total,0.0,0.0
3,4,65,total,0.0,0.0
3,4,66,total,0.0,0.0
3,4,67,total,0.0,0.0
3,4,68,total,0.0,0.0
3,4,69,total,0.0,0.0
3,4,70,total,0.0,0.0
3,4,71,total,0.0,0.0
3,4,72,total,0.0,0.0
3,4,73,total,0.0,0.0
3,4,74,total,0.0,0.0
3,4,75,total,0.0,0.0
3,4,76,total,0.0,0.0
3,4,77,total,0.0,0.0
3,4,78,total,0.0,0.0
3,4,79,total,0.0,0.0
3,4,80,total,0.0,0.0
3,4,81,total,0.0,0.0
3,4,82,total,0.0,0.0
3,4,83,total,0.0,0.0
3,4,84,total,0.0,0.0
3,4,85,total,0.0,0.0
3,4,86,total,0.0,0.0
3,4,87,total,0.0,0.0
3,4,88,total,0.0,0.0
3,4,89,total,0.0,0.0
3,4,90,total,0.0,0.0
3,4,91,total,0.0,0.0
3,4,92,total,0.0,0.0
3,4,93,total,0.0,0.0
3,4,94,total,0.0,0.0
3,4,95,total,0.0,0.0
3,4,96,total,0.0,0.0
3,4,97,total,0.0,0.0
3,4,98,total,0.0,0.0
3,4,99,total,0.0,0.0
3,4,100,total,0.0,0.0
3,4,101,total,0.0,0.0
3,4,102,total,0.0,0.0
3,4,103,total,0.0,0.0
3,4,104,total,0.0,0.0
3,4,105,total,0.0,0.0
3,4,106,total,0.0,0.0
3,4,107,total,0.0,0.0
3,4,108,total,0.0,0.0
3,4,109,total,0.0,0.0
3,4,110,total,0.0,0.0
3,4,111,total,0.0,0.0
3,4,112,total,0.0,0.0
3,4,113,total,0.0,0.0
3,4,114,total,0.0,0.0
3,4,115,total,0.0,0.0
3,4,116,total,0.0,0.0
3,4,117,total,0.0,0.0
3,4,118,total,0.0,0.0
3,4,119,total,0.0,0.0
3,4,120,total,0.0,0.0
3,4,122,total,0.0,0.0
3,4,122,total,0.0,0.0
3,4,123,total,0.0,0.0
3,4,125,total,0.0,0.0
3,4,125,total,0.0,0.0
3,4,126,total,0.0,0.0
3,4,127,total,0.0,0.0
3,4,128,total,0.0,0.0
3,4,129,total,0.0,0.0
3,4,131,total,0.0,0.0
3,4,131,total,0.0,0.0
3,4,133,total,0.0,0.0
3,4,133,total,0.0,0.0
3,4,134,total,0.0,0.0
3,4,135,total,0.0,0.0
3,4,136,total,0.0,0.0
3,4,137,total,0.0,0.0
3,4,138,total,0.0,0.0
3,4,139,total,0.0,0.0
3,4,141,total,0.0,0.0
3,4,141,total,0.0,0.0
3,4,142,total,0.0,0.0
3,4,144,total,0.0,0.0
3,4,144,total,0.0,0.0
3,4,145,total,0.0,0.0
3,4,146,total,0.0,0.0
3,4,147,total,0.0,0.0
3,4,148,total,0.0,0.0
3,4,150,total,0.0,0.0
3,4,150,total,0.0,0.0
3,4,151,total,0.0,0.0
3,4,153,total,0.0,0.0
3,4,153,total,0.0,0.0
3,4,154,total,0.0,0.0
3,4,156,total,0.0,0.0
3,4,156,total,0.0,0.0
3,4,158,total,0.0,0.0
3,4,159,total,0.0,0.0
3,4,160,total,0.0,0.0
3,4,161,total,0.0,0.0
3,4,162,total,0.0,0.0
3,4,163,total,0.0,0.0
3,4,164,total,0.0,0.0
3,4,165,total,0.0,0.0
3,4,166,total,0.0,0.0
3,4,167,total,0.0,0.0
3,4,168,total,0.0,0.0
3,4,169,total,0.0,0.0
3,4,170,total,0.0,0.0
3,4,171,total,0.0,0.0
3,4,172,total,0.0,0.0
3,4,172,total,0.0,0.0
3,5,1,total,0.0,0.0
3,5,2,total,0.0,0.0
3,5,3,total,0.0,0.0
3,5,4,total,0.0,0.0
3,5,5,total,0.2523283768745359,0.0028507343491456756
3,5,6,total,0.0411204526856538,0.0008061306880671363
3,5,7,total,0.0,0.0
3,5,8,total,0.0,0.0
3,5,9,total,0.0,0.0
3,5,10,total,0.0,0.0
3,5,11,total,0.0,0.0
3,5,12,total,0.0,0.0
3,5,13,total,0.0,0.0
3,5,14,total,0.0,0.0
3,5,15,total,0.0,0.0
3,5,16,total,0.0,0.0
3,5,17,total,0.0,0.0
3,5,18,total,0.0,0.0
3,5,19,total,0.0,0.0
3,5,20,total,0.0,0.0
3,5,21,total,0.0,0.0
3,5,22,total,0.0,0.0
3,5,23,total,0.0,0.0
3,5,24,total,0.0,0.0
3,5,25,total,0.0,0.0
3,5,26,total,0.0,0.0
3,5,27,total,0.0,0.0
3,5,28,total,0.0,0.0
3,5,29,total,0.0,0.0
3,5,30,total,0.0,0.0
3,5,31,total,0.0,0.0
3,5,32,total,0.0,0.0
3,5,33,total,0.0,0.0
3,5,34,total,0.0,0.0
3,5,35,total,0.0,0.0
3,5,36,total,0.0,0.0
3,5,37,total,0.0,0.0
3,5,38,total,0.0,0.0
3,5,39,total,0.0,0.0
3,5,40,total,0.0,0.0
3,5,41,total,0.0,0.0
3,5,42,total,0.0,0.0
3,5,43,total,0.0,0.0
3,5,44,total,0.0,0.0
3,5,45,total,0.0,0.0
3,5,46,total,0.0,0.0
3,5,47,total,0.0,0.0
3,5,48,total,0.0,0.0
3,5,49,total,0.0,0.0
3,5,50,total,0.0,0.0
3,5,51,total,0.0,0.0
3,5,52,total,0.0,0.0
3,5,53,total,0.0,0.0
3,5,54,total,0.0,0.0
3,5,55,total,0.0,0.0
3,5,56,total,0.0,0.0
3,5,57,total,0.0,0.0
