cell,group in,group out,nuclide,mean,std. dev.
4,3,77,total,0.0,0.0
4,3,78,total,0.0,0.0
4,3,79,total,0.0,0.0
4,3,80,total,0.0,0.0
4,3,81,total,0.0,0.0
4,3,82,total,0.0,0.0
4,3,83,total,0.0,0.0
4,3,84,total,0.0,0.0
4,3,85,total,0.0,0.0
4,3,86,total,0.0,0.0
4,3,87,total,0.0,0.0
4,3,88,total,0.0,0.0
4,3,89,total,0.0,0.0
4,3,90,total,0.0,0.0
4,3,91,total,0.0,0.0
4,3,92,total,0.0,0.0
4,3,93,total,0.0,0.0
4,3,94,total,0.0,0.0
4,3,95,total,0.0,0.0
4,3,96,total,0.0,0.0
4,3,97,total,0.0,0.0
4,3,98,total,0.0,0.0
4,3,99,total,0.0,0.0
4,3,100,total,0.0,0.0
4,3,101,total,0.0,0.0
4,3,102,total,0.0,0.0
4,3,103,total,0.0,0.0
4,3,104,total,0.0,0.0
4,3,105,total,0.0,0.0
4,3,106,total,0.0,0.0
4,3,107,total,0.0,0.0
4,3,108,total,0.0,0.0
4,3,109,total,0.0,0.0
4,3,110,total,0.0,0.0
4,3,111,total,0.0,0.0
4,3,112,total,0.0,0.0
4,3,113,total,0.0,0.0
4,3,114,total,0.0,0.0
4,3,115,total,0.0,0.0
4,3,116,total,0.0,0.0
4,3,117,total,0.0,0.0
4,3,118,total,0.0,0.0
4,3,119,total,0.0,0.0
4,3,120,total,0.0,0.0
4,3,122,total,0.0,0.0
4,3,122,total,0.0,0.0
4,3,123,total,0.0,0.0
4,3,125,total,0.0,0.0
4,3,125,total,0.0,0.0
4,3,126,total,0.0,0.0
4,3,127,total,0.0,0.0
4,3,128,total,0.0,0.0
4,3,129,total,0.0,0.0
4,3,131,total,0.0,0.0
4,3,131,total,0.0,0.0
4,3,133,total,0.0,0.0
4,3,133,total,0.0,0.0
4,3,134,total,0.0,0.0
4,3,135,total,0.0,0.0
4,3,136,total,0.0,0.0
4,3,137,total,0.0,0.0
4,3,138,total,0.0,0.0
4,3,139,total,0.0,0.0
4,3,141,total,0.0,0.0
4,3,141,total,0.0,0.0
4,3,142,total,0.0,0.0
4,3,144,total,0.0,0.0
4,3,144,total,0.0,0.0
4,3,145,total,0.0,0.0
4,3,146,total,0.0,0.0
4,3,147,total,0.0,0.0
4,3,148,total,0.0,0.0
4,3,150,total,0.0,0.0
4,3,150,total,0.0,0.0
4,3,151,total,0.0,0.0
4,3,153,total,0.0,0.0
4,3,153,total,0.0,0.0
4,3,154,total,0.0,0.0
4,3,156,total,0.0,0.0
4,3,156,total,0.0,0.0
4,3,158,total,0.0,0.0
4,3,159,total,0.0,0.0
4,3,160,total,0.0,0.0
4,3,161,total,0.0,0.0
4,3,162,total,0.0,0.0
4,3,163,total,0.0,0.0
4,3,164,total,0.0,0.0
4,3,165,total,0.0,0.0
4,3,166,total,0.0,0.0
4,3,167,total,0.0,0.0
4,3,168,total,0.0,0.0
4,3,169,total,0.0,0.0
4,3,170,total,0.0,0.0
4,3,171,total,0.0,0.0
4,3,172,total,0.0,0.0
4,3,172,total,0.0,0.0
4,4,1,total,0.0,0.0
4,4,2,total,0.0,0.0
4,4,3,total,3.02728329719228e-05,8.996744994330015e-06
4,4,4,total,-0.28166400976260925,0.001300368871224091
4,4,5,total,0.24102220517812536,0.0008124220072284395
4,4,6,total,0.20999507411798551,0.0006703222983673066
4,4,7,total,0.1597245122320267,0.000689583837298423
4,4,8,total,0.06895646803787814,0.0003783249350834375
4,4,9,total,0.061718738221507606,0.00046962317630661857
4,4,10,total,0.10684039576615854,0.0005946123685303643
4,4,11,total,0.0883083765151798,0.0005065610982809065
4,4,12,total,0.07209727445871514,0.00037711949903245905
4,4,13,total,0.059201047612676035,0.00040421360869740785
4,4,14,total,0.025610816694246703,0.00025049632108316045
4,4,15,total,0.02300483032258033,0.00018553654077544892
4,4,16,total,0.03926134162850289,0.00032456505059389314
4,4,17,total,0.03228093089239367,0.00029015536615393915
4,4,18,total,0.013870002973302632,0.00019051423825611612
4,4,19,total,0.012361406796868476,0.00017039602451707163
4,4,20,total,0.011301857642851179,0.00017336009015375806
4,4,21,total,0.01019185376721401,0.00015356334193850364
4,4,22,total,0.00914744102968267,0.00015031411714213746
4,4,23,total,0.022946807392717487,0.0002541751695443684
4,4,24,total,0.006354772188022794,0.00010686893329030747
